player_id,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
6069,Kyle Kuzma,LAL,24,203.2,100.243832,Utah,USA,2017,1,27,61,12.8,4.5,1.3,4.9,0.033,0.135,0.221,0.531,0.076,2019-20
38,Alec Burks,DET,31,198.12,97.068688,Colorado,USA,2011,1,12,51,12.8,3.1,2.2,-1,0.017,0.124,0.218,0.602,0.15,2022-23
6564,Keldon Johnson,SAS,21,195.58,99.79024,Kentucky,USA,2019,1,29,69,12.8,6,1.8,-3.8,0.045,0.163,0.18899999999999997,0.557,0.087,2020-21
6122,Jarrett Allen,CLE,23,210.82,110.22285600000001,Texas-Austin,USA,2017,1,22,63,12.8,10,1.7,-5.6,0.106,0.23199999999999998,0.163,0.6609999999999999,0.087,2020-21
849,Jabari Smith Jr.,HOU,20,210.82,99.79024,Auburn,USA,2022,1,3,79,12.8,7.2,1.3,-11.3,0.047,0.18,0.183,0.514,0.059000000000000004,2022-23
5374,Marcus Smart,BOS,26,190.5,99.79024,Oklahoma State,USA,2014,1,6,60,12.9,3.8,4.9,7.3,0.02,0.089,0.183,0.518,0.214,2019-20
6551,P.J. Washington,CHA,22,200.66,104.32616,Kentucky,USA,2019,1,12,64,12.9,6.5,2.5,0.6,0.045,0.163,0.191,0.5489999999999999,0.12,2020-21
2654,LaMarcus Aldridge,BKN,36,210.82,113.398,Texas-Austin,USA,2006,1,2,47,12.9,5.5,0.9,0.1,0.071,0.16,0.21899999999999997,0.604,0.062,2021-22
5681,Myles Turner,IND,26,210.82,113.398,Texas-Austin,USA,2015,1,11,42,12.9,7.1,1,-0.3,0.052000000000000005,0.188,0.17300000000000001,0.615,0.053,2021-22
6143,Kyle Kuzma,LAL,25,208.28,100.243832,Utah,USA,2017,1,27,68,12.9,6.1,1.9,-0.6,0.054000000000000006,0.157,0.198,0.546,0.1,2020-21
6153,Markelle Fultz,ORL,23,190.5,94.800728,Washington,USA,2017,1,1,8,12.9,3.1,5.4,-6.5,0.021,0.095,0.25,0.45799999999999996,0.293,2020-21
